product_type,plan_name,gender,smoker_status,entry_age,policy_term_years,sum_assured_inr,annual_premium_inr,monthly_premium_inr,premium_per_1000_sa,loading_class,extra_loading_pct,final_annual_premium_inr,notes
Term Life,VitaShield Term,Male,Non-Smoker,18,10,500000,600,52,1.2,Standard,0,600,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,15,500000,600,52,1.2,Standard,0,600,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,20,500000,650,70,1.3,Class I,25,812,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,25,500000,690,59,1.38,Standard,0,690,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,30,500000,730,63,1.46,Standard,0,730,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,10,1000000,1200,104,1.2,Standard,0,1200,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,15,1000000,1200,104,1.2,Standard,0,1200,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,20,1000000,1300,112,1.3,Standard,0,1300,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,25,1000000,1380,149,1.38,Class I,25,1725,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,30,1000000,1460,126,1.46,Standard,0,1460,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,10,2500000,3000,260,1.2,Standard,0,3000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,15,2500000,3000,260,1.2,Standard,0,3000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,20,2500000,3250,281,1.3,Standard,0,3250,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,25,2500000,3449,298,1.38,Standard,0,3449,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,30,2500000,3650,316,1.46,Standard,0,3650,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,10,5000000,6000,520,1.2,Standard,0,6000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,15,5000000,6000,650,1.2,Class I,25,7500,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,20,5000000,6500,563,1.3,Standard,0,6500,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,25,5000000,6899,747,1.38,Class I,25,8623,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,30,5000000,7300,790,1.46,Class I,25,9125,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,10,10000000,12000,1040,1.2,Standard,0,12000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,15,10000000,12000,1040,1.2,Standard,0,12000,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,20,10000000,13000,1408,1.3,Class I,25,16250,Non-smoker rates
Term Life,VitaShield Term,Male,Non-Smoker,18,25,10000000,13799,1494,1.38,Class I,25,17248,Non-smoker rates
